Date,Open,High,Low,Close,Volume,Turnover
18-09-2013,5872.75,5916.9,5840.2,5899.45,153585493,53696300000
19-09-2013,6044.15,6142.5,6040.15,6115.55,287191701,1.13E+11
20-09-2013,6104.55,6130.95,5932.85,6012.1,318645265,1.16E+11
23-09-2013,5945.8,5989.4,5871.4,5889.75,188322506,65961700000
24-09-2013,5855,5938.4,5854.55,5892.45,187578148,70028400000
25-09-2013,5901.55,5910.55,5811.1,5873.85,200162195,69889600000
26-09-2013,5872.8,5917.65,5864.1,5882.25,220589737,77619900000
27-09-2013,5905.55,5909.2,5819.3,5833.2,163067913,53033100000
30-09-2013,5801.05,5810.2,5718.5,5735.3,155674706,56427700000
01-10-2013,5756.1,5786.45,5700.95,5780.05,159247089,50757000000
03-10-2013,5819.1,5917.6,5802.7,5909.7,199793235,74819700000
04-10-2013,5891.3,5950.45,5885,5907.3,191469248,60524700000
07-10-2013,5889.05,5912,5825.85,5906.15,156387945,53484900000
08-10-2013,5975,5981.7,5913,5928.4,158527593,59504700000
09-10-2013,5893.25,6015.5,5877.1,6007.45,192037125,69049600000
10-10-2013,6001.05,6033.95,5979.8,6020.95,159607329,61636800000
11-10-2013,6104.85,6107.6,6046.4,6096.2,180834257,82830900000
14-10-2013,6093,6124.1,6082.9,6112.7,142173640,59893700000
15-10-2013,6147.55,6156.3,6056.55,6089.05,218304334,67450200000
17-10-2013,6098.5,6110.75,6032.55,6045.85,230561463,81583100000
18-10-2013,6070.9,6201.45,6070.9,6189.35,250339955,83532300000
21-10-2013,6202,6218.95,6163.3,6204.95,196989071,73412500000
22-10-2013,6192.3,6220.1,6181.8,6202.8,161943721,58507200000
23-10-2013,6209.55,6217.95,6116.6,6178.35,188285223,69216500000
24-10-2013,6162.8,6252.45,6142.95,6164.35,176235553,67372000000
25-10-2013,6154,6174.75,6125.95,6144.9,144531462,55828200000
28-10-2013,6155.1,6168.75,6094.1,6101.1,146340691,52827900000
29-10-2013,6107.55,6228.05,6079.2,6220.9,197348371,75728700000
30-10-2013,6230.8,6269.2,6222.6,6251.7,177583848,68618400000
31-10-2013,6237.15,6309.05,6235.9,6299.15,239607127,95605400000
01-11-2013,6289.75,6332.6,6286.95,6307.2,191639789,73719200000
03-11-2013,6332.05,6342.95,6311.15,6317.35,23856924,8582400000
05-11-2013,6282.15,6304.75,6244.3,6253.15,181053761,65980600000
06-11-2013,6260.55,6269.7,6208.7,6215.15,157080263,54611800000
07-11-2013,6228.9,6288.95,6180.8,6187.25,168832431,62741300000
08-11-2013,6170.15,6185.15,6120.95,6140.75,150051986,59773400000
11-11-2013,6110.4,6141.65,6067.75,6078.8,146060450,56788100000
12-11-2013,6087.25,6108.7,6011.75,6018.05,153812590,56462400000
13-11-2013,5998.85,6042.25,5972.45,5989.6,162538228,67384100000
14-11-2013,6037,6101.65,6036.65,6056.15,154913925,58726100000
18-11-2013,6111.05,6196.8,6110.4,6189,163991212,62790200000
19-11-2013,6197.25,6212.4,6180.2,6203.35,161514064,60201700000
20-11-2013,6186.85,6204.35,6106.95,6122.9,155794838,54937200000
21-11-2013,6096.5,6097.35,5985.4,5999.05,137232011,54578700000
22-11-2013,6027.35,6049.6,5972.8,5995.45,134755917,48047400000
25-11-2013,6035.95,6123.5,6035.95,6115.35,127195086,51138100000
26-11-2013,6099.25,6112.7,6047.75,6059.1,150661397,59752600000
27-11-2013,6062.7,6074,6030.3,6057.1,124875896,47805000000
28-11-2013,6092,6112.95,6068.3,6091.85,195315802,65895500000
29-11-2013,6103.9,6182.5,6103.8,6176.1,190711115,54873600000
